left,right,label,scenario,trial,raw_reply,pred_label,latency_ms,,,,,
../images/me_1.png,../images/me_1.png,same,identical,0,same person,same,2694.1038,,,,,
../images/me_1.png,../images/me_1.png,same,identical,1,same person,same,2628.5583,,,,,
../images/me_1.png,../images/me_1.png,same,identical,2,same person,same,2617.7789,,,,,
../images/me_2.png,../images/me_2.png,same,identical,0,same person,same,2623.3586,,,,,
../images/me_2.png,../images/me_2.png,same,identical,1,same person,same,2617.7615,,,,,
../images/me_2.png,../images/me_2.png,same,identical,2,same person,same,2634.7897,,,,,
../images/me_3.png,../images/me_3.png,same,identical,0,same person,same,2634.7336,,,,,
../images/me_3.png,../images/me_3.png,same,identical,1,same person,same,2620.2053,,,,,
../images/me_3.png,../images/me_3.png,same,identical,2,same person,same,2607.0358,,,,,
../images/me_1.png,../images/me_2.png,same,same_cross,0,same person,same,2641.5092,,,,,
../images/me_1.png,../images/me_2.png,same,same_cross,1,same person,same,2621.7131,,,,,
../images/me_1.png,../images/me_2.png,same,same_cross,2,same person,same,2638.0258,,,,,
../images/me_1.png,../images/me_3.png,same,same_cross,0,same person,same,2632.1953,,,,,
../images/me_1.png,../images/me_3.png,same,same_cross,1,same person,same,2643.2325,,,,,
../images/me_1.png,../images/me_3.png,same,same_cross,2,same person,same,2601.2597,,,,,
../images/me_2.png,../images/me_3.png,same,same_cross,0,same person,same,2608.3355,,,,,
../images/me_2.png,../images/me_3.png,same,same_cross,1,same person,same,2608.4378,,,,,
../images/me_2.png,../images/me_3.png,same,same_cross,2,same person,same,2627.6255,,,,,
../images/me_1.png,../images/random1.png,diff,diff_self_vs_other,0,same person,same,2609.2049,,,,TP,18
../images/me_1.png,../images/random1.png,diff,diff_self_vs_other,1,same person,same,2612.8218,,,,TN,225
../images/me_1.png,../images/random1.png,diff,diff_self_vs_other,2,same person,same,2597.7903,,,,FP,0
../images/me_1.png,../images/random2.png,diff,diff_self_vs_other,0,same person,same,2624.4265,,,,FN,0
../images/me_1.png,../images/random2.png,diff,diff_self_vs_other,1,same person,same,2621.6896,,,,,
../images/me_1.png,../images/random2.png,diff,diff_self_vs_other,2,same person,same,2635.9726,,,,,
../images/me_1.png,../images/random3.png,diff,diff_self_vs_other,0,same person,same,2604.9926,,,,,
../images/me_1.png,../images/random3.png,diff,diff_self_vs_other,1,same person,same,2655.5694,,,,,
../images/me_1.png,../images/random3.png,diff,diff_self_vs_other,2,same person,same,2625.0455,,,,,
../images/me_1.png,../images/random4.png,diff,diff_self_vs_other,0,same person,same,2616.1107,,,,,
../images/me_1.png,../images/random4.png,diff,diff_self_vs_other,1,same person,same,2618.3887,,,,,
../images/me_1.png,../images/random4.png,diff,diff_self_vs_other,2,same person,same,2619.5243,,,,,
../images/me_1.png,../images/random5.png,diff,diff_self_vs_other,0,same person,same,2627.9928,,,,,
../images/me_1.png,../images/random5.png,diff,diff_self_vs_other,1,same person,same,2662.8452,,,,,
../images/me_1.png,../images/random5.png,diff,diff_self_vs_other,2,same person,same,2623.6406,,,,,
../images/me_1.png,../images/random6.png,diff,diff_self_vs_other,0,same person,same,2613.5628,,,,,
../images/me_1.png,../images/random6.png,diff,diff_self_vs_other,1,same person,same,2630.7281,,,,,
../images/me_1.png,../images/random6.png,diff,diff_self_vs_other,2,same person,same,2639.1193,,,,,
../images/me_1.png,../images/random7.png,diff,diff_self_vs_other,0,same person,same,2600.1462,,,,,
../images/me_1.png,../images/random7.png,diff,diff_self_vs_other,1,same person,same,2599.1561,,,,,
../images/me_1.png,../images/random7.png,diff,diff_self_vs_other,2,same person,same,2644.8954,,,,,
../images/me_1.png,../images/random8.png,diff,diff_self_vs_other,0,same person,same,2635.681,,,,,
../images/me_1.png,../images/random8.png,diff,diff_self_vs_other,1,same person,same,2632.41,,,,,
../images/me_1.png,../images/random8.png,diff,diff_self_vs_other,2,same person,same,2636.6998,,,,,
../images/me_1.png,../images/random9.png,diff,diff_self_vs_other,0,same person,same,2634.4916,,,,,
../images/me_1.png,../images/random9.png,diff,diff_self_vs_other,1,same person,same,2631.264,,,,,
../images/me_1.png,../images/random9.png,diff,diff_self_vs_other,2,same person,same,2624.0304,,,,,
../images/me_1.png,../images/random10.png,diff,diff_self_vs_other,0,same person,same,2643.4439,,,,,
../images/me_1.png,../images/random10.png,diff,diff_self_vs_other,1,same person,same,2633.2992,,,,,
../images/me_1.png,../images/random10.png,diff,diff_self_vs_other,2,same person,same,2640.6701,,,,,
